group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
2495,5263170,107136107.536229,20.355814,0.001,162262.2,EinheitenSolar_17.json,58284,EinheitenSolar_35.json,72525
2497,29944,65179463.337,2176.711974,0.1,8000.0,EinheitenWind.json,29920,EinheitenWind.json,25048
2496,1928804,12360008.165936,6.40812,0.001,22000.0,EinheitenStromSpeicher_1.json,18326,EinheitenStromSpeicher_2.json,37817
2493,21813,9113428.26,417.798022,0.6,99720.0,EinheitenBiomasse.json,21050,EinheitenBiomasse.json,9609
2498,8556,4575114.641,534.725881,0.75,40000.0,EinheitenWasser.json,3331,EinheitenWasser.json,1412
2406,86,111518.0,1296.72093,25.0,5200.0,EinheitenGeothermieGrubengasDruckentspannung.json,60,EinheitenGeothermieGrubengasDruckentspannung.json,25
2403,11,49624.0,4511.272727,550.0,7000.0,EinheitenGeothermieGrubengasDruckentspannung.json,101,EinheitenGeothermieGrubengasDruckentspannung.json,62
2405,24,14386.0,599.416667,15.0,4400.0,EinheitenGeothermieGrubengasDruckentspannung.json,87,EinheitenGeothermieGrubengasDruckentspannung.json,77
2957,5,156.68,31.336,4.68,70.0,EinheitenGeothermieGrubengasDruckentspannung.json,72,EinheitenGeothermieGrubengasDruckentspannung.json,68
2958,4,118.0,29.5,10.0,55.0,EinheitenGeothermieGrubengasDruckentspannung.json,76,EinheitenGeothermieGrubengasDruckentspannung.json,89
