group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
Nordfriesland,22716,3169014.166,139.505818,0.001,19606.975,EinheitenSolar_34.json,59573,EinheitenSolar_39.json,57673
Dithmarschen,18671,2884977.54,154.516498,0.001,30149.31,EinheitenSolar_41.json,57703,EinheitenSolar_26.json,26867
Emsland,58132,2533141.993,43.57569,0.001,23100.0,EinheitenSolar_42.json,18453,EinheitenBiomasse.json,17954
Uckermark,9637,2357952.045,244.676979,0.001,60261.96,EinheitenSolar_42.json,37009,EinheitenSolar_31.json,22055
Schleswig-Flensburg,28168,2189838.592,77.742069,0.001,26895.29,EinheitenSolar_39.json,15094,EinheitenSolar_30.json,893
Märkisch-Oderland,20644,2120397.754,102.712544,0.001,153131.42,EinheitenSolar_42.json,53765,EinheitenSolar_15.json,57166
Ludwigslust-Parchim,18884,1989974.741,105.378878,0.001,88680.54,EinheitenSolar_42.json,64093,EinheitenSolar_23.json,20549
Mecklenburgische Seenplatte,18224,1867474.457,102.473357,0.001,59167.0,EinheitenSolar_42.json,77273,EinheitenSolar_45.json,56027
Paderborn,38677,1847050.448,47.755784,0.001,6800.0,EinheitenSolar_43.json,91595,EinheitenWind.json,27795
Borken,60962,1817317.163,29.810655,0.001,7720.0,EinheitenSolar_41.json,1182,EinheitenBiomasse.json,5939
Prignitz,7477,1766010.369,236.192372,0.001,31435.04,EinheitenSolar_42.json,34117,EinheitenSolar_29.json,52092
Steinfurt,67712,1661048.97,24.531087,0.001,7000.0,EinheitenSolar_41.json,28906,EinheitenWind.json,29515
Leipzig,41911,1640542.378,39.14348,0.001,162262.2,EinheitenSolar_34.json,87801,EinheitenSolar_35.json,72525
Vorpommern-Greifswald,15607,1627134.467,104.25671,0.001,56059.0,EinheitenSolar_42.json,4710,EinheitenSolar_44.json,18941
Rendsburg-Eckernförde,30034,1566739.094,52.165516,0.001,40743.81,EinheitenSolar_23.json,38317,EinheitenSolar_29.json,56086
Rostock,25158,1559510.838,61.988665,0.001,47267.28,EinheitenSolar_41.json,33901,EinheitenSolar_21.json,33350
Stendal,9502,1554814.873,163.630275,0.001,99720.0,EinheitenSolar_41.json,39210,EinheitenBiomasse.json,9609
Diepholz,32355,1533602.896,47.399255,0.001,7000.0,EinheitenSolar_40.json,69842,EinheitenWind.json,29848
Osnabrück,60873,1477302.733,24.268604,0.001,10056.0,EinheitenSolar_40.json,91914,EinheitenSolar_46.json,51925
Ansbach,40796,1387543.601,34.011756,0.001,10995.93,EinheitenSolar_42.json,10410,EinheitenSolar_50.json,70854
Aurich,22770,1383072.722,60.741007,0.001,9285.1,EinheitenSolar_40.json,30955,EinheitenSolar_4.json,15962
Teltow-Fläming,18182,1379130.216,75.851403,0.002,65417.04,EinheitenStromSpeicher_15.json,44758,EinheitenSolar_48.json,39043
Passau,45653,1367322.813,29.950339,0.001,26400.0,EinheitenSolar_46.json,1761,EinheitenWasser.json,7419
Steinburg,13573,1347762.114,99.29729,0.001,38838.0,EinheitenSolar_40.json,93518,EinheitenSolar_38.json,55324
Börde,16829,1345084.744,79.9266,0.001,20914.75,EinheitenSolar_41.json,36885,EinheitenSolar_46.json,34749
Dahme-Spreewald,18348,1343313.095,73.213053,0.001,54546.36,EinheitenSolar_40.json,90374,EinheitenSolar_47.json,1430
Oberspreewald-Lausitz,9505,1309607.34,137.780888,0.001,49999.87,EinheitenSolar_42.json,5912,EinheitenSolar_24.json,67383
Ostprignitz-Ruppin,8339,1293080.683,155.064238,0.001,63120.735,EinheitenSolar_45.json,14527,EinheitenSolar_53.json,12454
Region Hannover,70984,1245825.671,17.550796,0.001,10411.47,EinheitenSolar_42.json,11095,EinheitenSolar_45.json,74298
Elbe-Elster,11435,1202937.516,105.197859,0.001,21139.0,EinheitenSolar_47.json,33324,EinheitenSolar_30.json,18570
Salzlandkreis,14201,1191397.084,83.895295,0.001,12030.33,EinheitenSolar_40.json,72041,EinheitenSolar_31.json,39912
Cuxhaven,21561,1170203.508,54.274083,0.001,17000.0,EinheitenSolar_42.json,96791,EinheitenBiomasse.json,7914
Cloppenburg,28245,1147188.99,40.615648,0.001,6755.385,EinheitenSolar_43.json,27718,EinheitenSolar_34.json,79035
Eifelkreis Bitburg-Prüm,13717,1133621.103,82.643516,0.002,24984.96,EinheitenSolar_43.json,67460,EinheitenSolar_45.json,45752
Anhalt-Bitterfeld,13922,1133350.43,81.407156,0.001,12704.39,EinheitenSolar_42.json,33311,EinheitenSolar_8.json,88821
Vorpommern-Rügen,16202,1107281.546,68.342275,0.001,21339.06,EinheitenSolar_46.json,11933,EinheitenSolar_18.json,72060
Höxter,22802,1105133.802,48.466529,0.001,8202.0,EinheitenSolar_41.json,49432,EinheitenSolar_45.json,39760
Saalekreis,17483,1099972.734,62.916704,0.001,59998.92,EinheitenSolar_43.json,46677,EinheitenSolar_50.json,76267
Kleve,40729,1091712.866,26.804313,0.001,14074.37,EinheitenSolar_38.json,9140,EinheitenSolar_2.json,20963
Ostholstein,18255,1075475.782,58.914039,0.001,24396.53,EinheitenSolar_42.json,41939,EinheitenSolar_46.json,2296
Rotenburg (Wümme),18881,1059749.776,56.127842,0.001,23332.11,EinheitenSolar_41.json,83963,EinheitenSolar_50.json,79520
Barnim,17327,1022677.8,59.022208,0.001,63060.96,EinheitenSolar_41.json,10594,EinheitenSolar_20.json,18199
Mittelsachsen,24647,1021926.121,41.462495,0.001,54998.865,EinheitenSolar_43.json,7789,EinheitenSolar_50.json,75089
Schwäbisch Hall,31807,1021646.162,32.120167,0.001,7680.0,EinheitenSolar_42.json,7943,EinheitenBiomasse.json,19916
Rottal-Inn,30289,1016372.849,33.55584,0.005,25600.0,EinheitenStromSpeicher_15.json,81071,EinheitenWasser.json,7400
Rhein-Hunsrück-Kreis,15054,985979.354,65.496171,0.001,7580.0,EinheitenSolar_43.json,92092,EinheitenWind.json,324
Mansfeld-Südharz,11114,972949.747,87.542716,0.001,30369.24,EinheitenSolar_41.json,83496,EinheitenSolar_53.json,56329
Landshut,39723,961534.164,24.205981,0.001,14233.725,EinheitenSolar_45.json,55616,EinheitenSolar_37.json,38173
Neumarkt i.d. OPf.,22902,953919.879,41.652252,0.001,28886.46,EinheitenStromSpeicher_19.json,41654,EinheitenSolar_52.json,93664
Spree-Neiße,12183,943943.877,77.480413,0.001,22030.825,EinheitenSolar_43.json,66565,EinheitenSolar_12.json,4864
Oder-Spree,17062,943564.523,55.302105,0.001,18320.0,EinheitenSolar_43.json,38768,EinheitenBiomasse.json,9753
Düren,27929,939342.554,33.633233,0.001,17194.68,EinheitenSolar_26.json,90938,EinheitenSolar_45.json,18630
Warendorf,37958,937539.905,24.699402,0.001,11732.04,EinheitenSolar_31.json,42485,EinheitenSolar_39.json,48738
Potsdam-Mittelmark,25142,931143.97,37.035398,0.001,13314.5,EinheitenSolar_41.json,34662,EinheitenSolar_4.json,3138
Burgenlandkreis,13952,912884.351,65.430358,0.001,13800.0,EinheitenSolar_41.json,28503,EinheitenStromSpeicher_6.json,2857
Soest,40203,903704.114,22.478524,0.001,20237.0,EinheitenSolar_25.json,35168,EinheitenSolar_38.json,95819
Augsburg,52198,901949.716,17.279392,0.001,12798.81,EinheitenSolar_20.json,87015,EinheitenSolar_5.json,94848
Regensburg,45828,901739.362,19.676603,0.001,15845.015,EinheitenSolar_43.json,53869,EinheitenSolar_20.json,66908
Ortenaukreis,53912,876130.275,16.251118,0.001,20000.0,EinheitenSolar_40.json,84157,EinheitenBiomasse.json,20815
Main-Tauber-Kreis,22298,868401.295,38.945255,0.001,48401.86,EinheitenSolar_41.json,87642,EinheitenSolar_33.json,85181
Nordsachsen,19667,865307.071,43.997919,0.001,29970.0,EinheitenSolar_40.json,82925,EinheitenSolar_34.json,75891
Biberach,38336,861303.299,22.467219,0.001,80308.8,EinheitenSolar_45.json,17444,EinheitenSolar_50.json,7853
Coesfeld,34270,852238.298,24.868348,0.001,9207.7,EinheitenSolar_41.json,33010,EinheitenSolar_48.json,56894
Altmarkkreis Salzwedel,10093,847607.306,83.979719,0.002,10964.16,EinheitenSolar_44.json,36129,EinheitenSolar_38.json,93429
Havelland,17685,804007.188,45.462663,0.001,25258.5,EinheitenSolar_41.json,36384,EinheitenSolar_23.json,17065
Alb-Donau-Kreis,35481,799705.204,22.53897,0.001,37704.69,EinheitenSolar_44.json,34383,EinheitenSolar_28.json,58439
Kassel,36017,798292.102,22.164314,0.001,39386.0,EinheitenSolar_41.json,57769,EinheitenSolar_49.json,84118
Vogelsbergkreis,14607,796488.681,54.527876,0.001,34688.12,EinheitenSolar_39.json,18120,EinheitenSolar_24.json,49125
Ostalbkreis,40083,796305.314,19.86641,0.001,9162.0,EinheitenSolar_40.json,82274,EinheitenBiomasse.json,21629
Straubing-Bogen,24539,795820.162,32.430831,0.008,54356.0,EinheitenStromSpeicher_18.json,7226,EinheitenSolar_10.json,97962
Main-Kinzig-Kreis,36078,793680.839,21.999025,0.001,20897.0,EinheitenSolar_34.json,55716,EinheitenSolar_49.json,19253
