group_key,count,total_power_kw,avg_power_kw,min_power_kw,max_power_kw,min_ref_file,min_ref_index,max_ref_file,max_ref_index
1403,1637034,38676333.009122,23.625858,0.001,54356.0,EinheitenSolar_17.json,58284,EinheitenSolar_10.json,97962
1408,833822,26335782.114007,31.584417,0.001,82720.0,EinheitenSolar_31.json,13427,EinheitenSolar_32.json,70082
1409,1340037,25225770.362012,18.824682,0.001,55000.0,EinheitenSolar_25.json,35168,EinheitenBiomasse.json,16842
1402,1164397,19174395.037017,16.467232,0.001,80308.8,EinheitenSolar_40.json,68535,EinheitenSolar_50.json,7853
1400,228090,18477688.026997,81.010514,0.001,153131.42,EinheitenSolar_40.json,90374,EinheitenSolar_15.json,57166
1411,245710,14237758.961996,57.945379,0.001,40743.81,EinheitenSolar_23.json,31937,EinheitenSolar_29.json,56086
1414,166129,11538748.970996,69.456561,0.001,99720.0,EinheitenSolar_40.json,72041,EinheitenBiomasse.json,9609
1410,427512,10771142.388992,25.194947,0.001,37941.75,EinheitenSolar_38.json,16362,EinheitenSolar_49.json,38337
1407,110111,9015655.625998,81.877883,0.001,88680.54,EinheitenSolar_41.json,20421,EinheitenSolar_23.json,20549
1405,479821,8830383.348991,18.403495,0.001,39386.0,EinheitenSolar_20.json,56496,EinheitenSolar_49.json,84118
1413,256104,7417523.667995,28.962936,0.001,162262.2,EinheitenSolar_27.json,80585,EinheitenSolar_35.json,72525
1415,157522,5534515.789999,35.134875,0.001,57235.0,EinheitenSolar_40.json,66247,EinheitenBiomasse.json,9850
1412,83751,1825871.84,21.801194,0.001,24001.03,EinheitenSolar_29.json,39690,EinheitenSolar_48.json,93162
1401,69316,617863.272,8.913718,0.001,21638.0,EinheitenSolar_41.json,78453,EinheitenBiomasse.json,12109
1406,33865,445478.58,13.154542,0.001,20520.0,EinheitenSolar_40.json,76153,EinheitenBiomasse.json,21341
1404,19196,415013.625,21.619797,0.001,8000.0,EinheitenSolar_40.json,65427,EinheitenWind.json,25048
