file_name,entries_total,entries_kept_after_4checks_and_limits,file_size_gb,file_size_mb,dropped_invalid_entry,dropped_no_point,dropped_no_state_polygon,dropped_missing_bundesland,dropped_missing_gemeindeschluessel,dropped_triple_mismatch,dropped_no_landkreis_match,dropped_missing_power,dropped_limits
EinheitenBiomasse.json,21813,20876,0.028471954,29.155,0,849,8,0,0,80,0,0,0
EinheitenGeothermieGrubengasDruckentspannung.json,130,121,0.000159804,0.164,0,9,0,0,0,0,0,0,0
EinheitenSolar_1.json,98918,11540,0.127707987,130.773,0,87306,4,0,0,67,1,0,0
EinheitenSolar_10.json,99161,7394,0.126364863,129.398,0,91713,6,0,0,48,0,0,0
EinheitenSolar_11.json,98903,6761,0.125857134,128.878,0,92112,3,0,0,27,0,0,0
EinheitenSolar_12.json,99088,6869,0.126293283,129.324,0,92180,3,0,0,36,0,0,0
EinheitenSolar_13.json,99078,7763,0.126346815,129.379,0,91277,2,0,0,36,0,0,0
EinheitenSolar_14.json,99237,8057,0.126466097,129.501,0,91111,6,0,0,62,1,0,0
EinheitenSolar_15.json,99203,7712,0.126278841,129.31,0,91444,1,0,0,46,0,0,0
EinheitenSolar_16.json,99273,7816,0.126299393,129.331,0,91397,5,0,0,55,0,0,0
EinheitenSolar_17.json,99161,7323,0.125833389,128.853,0,91788,2,0,0,47,1,0,0
EinheitenSolar_18.json,99227,9793,0.126456588,129.492,0,89371,7,0,0,56,0,0,0
EinheitenSolar_19.json,99226,11449,0.126748517,129.79,0,87701,3,0,0,73,0,0,0
EinheitenSolar_2.json,98941,10215,0.127424276,130.482,0,88685,6,0,0,35,0,0,0
EinheitenSolar_20.json,98872,6123,0.125696579,128.713,0,92696,4,0,0,49,0,0,0
EinheitenSolar_21.json,98597,4222,0.125578157,128.592,0,94347,6,0,0,21,1,0,0
EinheitenSolar_22.json,98913,3901,0.125286374,128.293,0,94970,1,0,0,41,0,0,0
EinheitenSolar_23.json,98345,3374,0.124553202,127.542,0,94945,3,0,0,23,0,0,0
EinheitenSolar_24.json,97767,2496,0.123284008,126.243,0,95258,1,0,0,11,1,0,0
EinheitenSolar_25.json,96814,1976,0.122053171,124.982,0,94822,4,0,0,11,1,0,0
EinheitenSolar_26.json,97029,2022,0.122023734,124.952,0,95000,1,0,0,6,0,0,0
EinheitenSolar_27.json,97102,2123,0.120941519,123.844,0,94973,3,0,0,3,0,0,0
EinheitenSolar_28.json,96822,1530,0.118943161,121.798,0,95287,2,0,0,3,0,0,0
EinheitenSolar_29.json,95969,1505,0.117248856,120.063,0,94458,3,0,0,3,0,0,0
EinheitenSolar_3.json,98967,9937,0.127042525,130.092,0,88988,4,0,0,38,0,0,0
EinheitenSolar_30.json,96154,1430,0.117244859,120.059,0,94718,3,0,0,3,0,0,0
EinheitenSolar_31.json,97141,1394,0.118225301,121.063,0,95736,2,0,0,9,0,0,0
EinheitenSolar_32.json,97483,1456,0.118755012,121.605,0,96020,2,0,0,5,0,0,0
EinheitenSolar_33.json,97678,1498,0.118912403,121.766,0,96176,2,0,0,2,0,0,0
EinheitenSolar_34.json,97748,1498,0.119003233,121.859,0,96246,2,0,0,2,0,0,0
EinheitenSolar_35.json,97992,1662,0.119462518,122.33,0,96325,1,0,0,4,0,0,0
EinheitenSolar_36.json,98047,1910,0.119663632,122.536,0,96128,2,0,0,7,0,0,0
EinheitenSolar_37.json,98426,2293,0.120386623,123.276,0,96115,4,0,0,14,0,0,0
EinheitenSolar_38.json,98149,3000,0.118897545,121.751,0,95141,1,0,0,7,0,0,0
EinheitenSolar_39.json,98148,2421,0.115860779,118.641,0,95715,3,0,0,9,0,0,0
EinheitenSolar_4.json,98979,8781,0.126656723,129.696,0,90154,1,0,0,43,0,0,0
EinheitenSolar_40.json,97614,1560,0.112708681,115.414,0,96044,3,0,0,7,0,0,0
EinheitenSolar_41.json,97591,1537,0.111224873,113.894,0,96045,6,0,0,3,0,0,0
EinheitenSolar_42.json,97568,1245,0.109701217,112.334,0,96316,3,0,0,4,0,0,0
EinheitenSolar_43.json,98012,1530,0.110637794,113.293,0,96474,1,0,0,7,0,0,0
EinheitenSolar_44.json,97874,1645,0.11096383,113.627,0,96220,1,0,0,8,0,0,0
EinheitenSolar_45.json,97884,1652,0.110795376,113.454,0,96227,0,0,0,5,0,0,0
EinheitenSolar_46.json,97766,1721,0.111248733,113.919,0,96035,3,0,0,7,0,0,0
EinheitenSolar_47.json,97873,1809,0.112433554,115.132,0,96053,5,0,0,6,0,0,0
EinheitenSolar_48.json,97782,2413,0.114118374,116.857,0,95351,5,0,0,13,0,0,0
EinheitenSolar_49.json,97512,3435,0.114696496,117.449,0,94052,12,0,0,13,0,0,0
EinheitenSolar_5.json,99009,8348,0.126527115,129.564,0,90624,7,0,0,30,0,0,0
EinheitenSolar_50.json,97153,3609,0.114022599,116.759,0,93528,4,0,0,12,0,0,0
EinheitenSolar_51.json,96859,1854,0.110526852,113.179,0,94992,4,0,0,9,0,0,0
EinheitenSolar_52.json,96407,1310,0.108914949,111.529,0,95088,4,0,0,5,0,0,0
EinheitenSolar_53.json,95470,1427,0.10898701,111.603,0,94040,0,0,0,3,0,0,0
EinheitenSolar_54.json,63748,950,0.073203829,74.961,0,62790,3,0,0,5,0,0,0
EinheitenSolar_6.json,99099,8574,0.126619165,129.658,0,90465,6,0,0,53,1,0,0
EinheitenSolar_7.json,99124,8282,0.126655717,129.695,0,90800,6,0,0,36,0,0,0
